watch_date,device_type,watch_duration_minutes,progress_percentage,action,age,gender,country,subscription_plan,is_active,monthly_spend,household_size,content_type,genre_primary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,is_netflix_original
11/18/24,Desktop,32.3,66,paused,25,Male,Canada,Premium,FALSE,32.16,3,TV Series,Crime,1965,77,PG-13,English,France,6.5,FALSE
4/13/25,Smart TV,13.7,93.3,stopped,30,Male,Canada,Basic,TRUE,17.7,5,Movie,History,2001,109,PG-13,English,Japan,6.6,TRUE
8/1/25,Desktop,47.6,5.8,completed,48,Male,Canada,Premium+,TRUE,21.51,2,TV Series,Sport,2007,48,TV-PG,Hindi,USA,4.9,TRUE
11/11/25,Mobile,11,99.3,started,35,Female,USA,Premium+,TRUE,41.1,5,TV Series,War,1998,48,TV-MA,English,Japan,6,FALSE
9/6/24,Mobile,3,41.6,started,45,Male,Canada,Premium+,TRUE,21.69,2,Movie,Documentary,1998,114,PG,English,Germany,6.8,TRUE
5/17/24,Tablet,35.2,37.3,paused,43,Female,USA,Premium,TRUE,18.57,3,Movie,Western,2018,95,TV-PG,French,Canada,6.1,TRUE
4/22/25,Smart TV,125.4,28.3,stopped,51,Female,Canada,Standard,TRUE,19.87,2,Movie,Comedy,2018,73,TV-Y,English,USA,6.7,TRUE
1/19/24,Laptop,75.7,47.2,started,45,Other,Canada,Basic,TRUE,13.81,2,Limited Series,Fantasy,2013,69,TV-14,English,USA,6,TRUE
1/14/25,Laptop,116.4,22.5,completed,30,Male,Canada,Basic,TRUE,10.78,4,Movie,Adventure,1997,137,TV-Y,English,USA,6.2,TRUE
5/5/25,Desktop,19.7,38.8,started,48,Female,USA,Standard,FALSE,17.43,8,TV Series,Animation,1998,28,PG-13,English,France,8.3,TRUE
2/25/24,Smart TV,57.9,82.1,stopped,38,Female,USA,Basic,TRUE,12.45,,TV Series,Action,2003,53,TV-PG,Japanese,Japan,8.6,TRUE
3/10/24,Mobile,136.5,73.7,completed,27,Prefer not to say,Canada,Standard,TRUE,4.58,2,Movie,Adventure,2014,121,PG-13,Korean,USA,6.9,TRUE
3/29/24,Mobile,82.8,28.8,stopped,38,,USA,Premium,TRUE,11.24,,Movie,Crime,2004,114,TV-Y7,English,Canada,6.9,TRUE
1/4/25,Tablet,52.3,68.1,stopped,33,,USA,Standard,TRUE,12.33,3,Movie,Western,2009,121,PG,English,USA,8.8,FALSE
7/3/25,Smart TV,134.6,31.6,started,51,Female,USA,Premium+,TRUE,16.55,2,Documentary,Family,2009,101,TV-PG,English,Canada,6.2,FALSE
9/10/24,Tablet,57.1,80.1,started,38,Male,USA,Premium+,TRUE,23.86,4,Stand-up Comedy,Horror,1992,30,NC-17,English,USA,7.2,FALSE
6/9/25,Laptop,75.3,75.9,paused,29,Male,USA,Standard,TRUE,24.36,2,TV Series,Romance,2024,15,TV-MA,Japanese,USA,5.6,TRUE
11/8/25,Desktop,121.2,30.5,stopped,34,Male,USA,Standard,TRUE,21.33,7,Documentary,Romance,2018,62,TV-G,Hindi,Germany,8.1,TRUE
9/27/25,Desktop,3.4,17.2,completed,34,Female,USA,Standard,TRUE,4.85,1,TV Series,Animation,1990,29,TV-MA,Spanish,USA,6.6,TRUE
6/3/24,Mobile,75.3,64.6,started,21,Male,Canada,Standard,TRUE,3.26,4,Movie,Thriller,2007,128,TV-14,French,USA,7.5,TRUE
9/27/25,Desktop,66,44.6,completed,37,Female,USA,Premium,TRUE,3.62,3,Movie,Fantasy,2000,131,TV-Y7,English,UK,8.4,TRUE
12/23/25,Desktop,151.5,25.7,completed,49,Female,USA,Basic,TRUE,3.51,2,Movie,Thriller,2020,105,TV-Y7,English,Japan,6.9,TRUE
4/13/25,Mobile,19.1,80.8,stopped,57,Male,USA,Standard,FALSE,8.04,2,Documentary,Documentary,2014,84,TV-PG,English,France,6.4,FALSE
7/15/24,Laptop,22.5,78.6,paused,38,Male,USA,Basic,TRUE,15.1,,Movie,Comedy,2019,108,TV-G,English,Japan,4.6,FALSE
11/4/25,Mobile,72.6,58.6,started,36,Female,Canada,Standard,TRUE,27.83,5,Limited Series,Sport,1996,68,TV-Y7,English,Canada,4.8,TRUE
1/30/25,Tablet,79.2,79,started,34,Female,USA,Standard,TRUE,3.59,5,Stand-up Comedy,Mystery,1997,51,R,English,Canada,7.9,TRUE
1/20/25,Mobile,2,40.3,completed,32,Male,Canada,Premium,TRUE,1.69,1,TV Series,Romance,2019,64,PG,English,UK,7.4,TRUE
11/16/24,Mobile,125.6,84,started,31,Male,USA,Standard,FALSE,4.6,1,Movie,Thriller,1993,109,R,Spanish,USA,7.4,TRUE
12/28/24,Smart TV,26.7,99.5,paused,20,Male,Canada,Premium,TRUE,2.68,,TV Series,Comedy,2011,22,R,English,Germany,3,FALSE
1/5/25,Desktop,12.8,43.1,paused,20,Male,USA,Basic,TRUE,60.04,3,Stand-up Comedy,Music,2004,69,PG,German,Germany,6.3,FALSE
1/16/24,Mobile,69.4,65.8,stopped,37,Male,USA,Basic,TRUE,13.59,2,Movie,Animation,2014,82,TV-PG,English,USA,7.5,FALSE
12/23/24,Desktop,19.4,87.4,paused,48,Male,USA,Basic,TRUE,3.99,3,Documentary,Music,2016,85,PG,English,USA,4.4,FALSE
10/17/25,Smart TV,32,68.4,completed,20,Female,USA,Basic,FALSE,4.85,,Stand-up Comedy,Horror,1961,47,TV-14,Spanish,France,6.1,FALSE
1/5/24,Tablet,35.5,95.9,paused,49,Male,Canada,Premium,TRUE,0.67,2,Documentary,Action,1996,46,NC-17,English,USA,7.1,FALSE
8/7/25,Laptop,53,35.9,stopped,31,Male,USA,Basic,TRUE,17.12,4,TV Series,Romance,2005,59,TV-MA,English,Germany,4.1,FALSE
6/18/24,Desktop,328.2,30.3,paused,24,Male,Canada,Premium,TRUE,26.27,3,Limited Series,Crime,2001,24,TV-14,English,Canada,8.2,FALSE
6/14/24,Smart TV,16.4,28.6,paused,46,Prefer not to say,USA,Standard,TRUE,17.75,2,Movie,Animation,1998,95,NC-17,German,USA,5.5,TRUE
9/24/25,Smart TV,11,14.3,paused,26,Male,Canada,Standard,TRUE,13.91,2,Movie,Fantasy,2018,93,PG-13,English,USA,3.5,TRUE
5/10/24,Mobile,7.1,13.8,completed,47,Female,Canada,Standard,TRUE,34.34,2,Movie,Crime,2017,115,PG,English,USA,6.5,FALSE
10/23/25,Laptop,11.4,7.1,stopped,54,Female,USA,Premium+,TRUE,10.52,3,Movie,Animation,2024,103,TV-Y,English,South Korea,4.8,FALSE
4/1/25,Smart TV,130.8,90.5,completed,49,Male,USA,Standard,TRUE,17.36,,TV Series,Music,2015,38,TV-MA,Italian,South Korea,4,FALSE
6/26/25,Smart TV,54.2,75.7,started,44,Male,USA,Standard,TRUE,23.7,3,Movie,Sci-Fi,2011,109,NC-17,Spanish,USA,4,FALSE
8/31/25,Tablet,104.7,38.8,started,54,Female,USA,Standard,TRUE,6.15,1,Movie,Animation,1992,121,TV-PG,English,USA,7.2,FALSE
10/6/25,Tablet,73.3,19,started,48,Female,Canada,Premium,TRUE,30.56,,Documentary,Romance,2015,91,TV-MA,Japanese,USA,5.3,TRUE
9/30/25,Tablet,125.8,83.9,paused,36,Male,USA,Standard,TRUE,33.45,6,TV Series,War,2013,28,PG-13,English,USA,4.7,FALSE
6/30/25,Laptop,45.3,46.8,started,26,Female,Canada,Premium+,TRUE,50.18,2,Movie,Fantasy,1961,106,PG-13,Spanish,Japan,7.5,FALSE
8/8/24,Tablet,107.7,85.5,paused,105,Prefer not to say,Canada,Basic,TRUE,14.1,2,Stand-up Comedy,Thriller,1995,63,TV-Y7,Spanish,Germany,7.3,FALSE
2/22/25,Mobile,30.3,6.1,started,21,Female,Canada,Basic,TRUE,6.64,2,Movie,Music,2003,139,TV-14,French,USA,7.3,TRUE
6/23/25,Mobile,55.6,31.6,paused,34,Female,USA,Premium,TRUE,11.27,7,Movie,Animation,2001,74,G,English,USA,5.8,FALSE
11/27/24,Laptop,36,65.2,stopped,19,Male,USA,Standard,TRUE,11.11,2,TV Series,Sci-Fi,1998,19,TV-Y,Italian,UK,5,TRUE
6/24/25,Smart TV,165.5,29.3,stopped,50,Prefer not to say,Canada,Premium+,FALSE,4.39,,TV Series,Animation,1998,28,PG-13,English,France,8.3,TRUE
7/20/24,Desktop,41.3,92.3,stopped,33,Prefer not to say,Canada,Premium+,TRUE,27.73,,Documentary,Documentary,2001,71,NC-17,English,UK,1.2,FALSE
11/29/25,Smart TV,151.2,98.2,stopped,29,Female,USA,Premium,TRUE,3.19,2,Stand-up Comedy,Music,1993,334,TV-Y,English,South Korea,5,FALSE
12/18/24,Tablet,22.7,41.3,stopped,30,Male,Canada,Basic,TRUE,13.02,1,Movie,Comedy,2024,117,TV-Y7,Spanish,USA,6.3,FALSE
4/14/25,Desktop,121.1,29.4,paused,62,Female,Canada,Basic,TRUE,6.63,2,Documentary,History,2018,90,TV-Y7,English,Canada,4.7,FALSE
10/6/25,Laptop,107.4,97,stopped,45,Female,USA,Standard,TRUE,286.35,5,Documentary,Action,2012,75,PG-13,Spanish,South Korea,8.1,FALSE
4/4/25,Desktop,43.5,62.8,stopped,35,Female,USA,Premium,FALSE,27.46,2,Movie,Mystery,2010,81,TV-Y7,German,USA,5.5,FALSE
7/15/24,Laptop,141.5,4.3,paused,51,Male,USA,Standard,FALSE,13.97,5,Movie,Western,2016,153,PG,German,USA,5.9,FALSE
1/14/24,Mobile,30.4,7.5,paused,36,Female,USA,Basic,TRUE,21.35,,Limited Series,Sport,1993,38,TV-Y,English,USA,4.9,FALSE
1/23/24,Laptop,206.5,15.9,stopped,21,Female,USA,Premium+,TRUE,16.53,,Limited Series,Animation,2019,60,R,French,USA,6.7,TRUE
5/6/25,Desktop,104.9,83.4,stopped,24,Female,Canada,Premium+,TRUE,13.82,2,TV Series,Animation,1994,80,G,English,USA,5.6,TRUE
2/3/24,Desktop,130.6,4.9,stopped,54,Male,USA,Standard,TRUE,10.34,1,Documentary,Adventure,2014,110,R,English,India,9.6,FALSE
1/12/24,Desktop,125.7,55.3,completed,33,Female,USA,Standard,FALSE,1,5,Movie,Western,2016,73,TV-G,Japanese,USA,5.3,FALSE
8/14/25,Smart TV,426.5,17.8,stopped,42,Female,USA,Standard,TRUE,2.04,1,Movie,Horror,1991,109,TV-Y,Spanish,South Korea,7.7,FALSE
1/10/24,Laptop,71.6,89.1,completed,32,Male,USA,Premium,TRUE,20.31,4,Stand-up Comedy,Sport,2011,64,TV-14,Hindi,Canada,4.8,FALSE
11/7/25,Smart TV,46,84.3,stopped,44,Female,USA,Standard,FALSE,24.22,3,Documentary,Thriller,2012,101,PG-13,English,France,5.5,TRUE
2/20/25,Mobile,40.6,16.1,stopped,35,Male,USA,Premium,TRUE,710.55,3,Movie,Drama,2022,99,PG,Italian,USA,9.1,TRUE
1/6/24,Tablet,20.9,22,started,26,Female,USA,Standard,FALSE,11.77,1,Movie,Comedy,2010,38,PG-13,Italian,USA,6.6,FALSE
10/8/25,Tablet,58.3,82.7,stopped,39,Prefer not to say,USA,Standard,TRUE,16.88,2,TV Series,Animation,2005,40,TV-PG,Spanish,South Korea,5.8,FALSE
10/7/24,Tablet,36,56.9,started,27,Other,USA,Premium+,TRUE,10.41,,Movie,Biography,2017,82,TV-14,Spanish,USA,5.9,TRUE
6/24/24,Laptop,17.4,94.3,completed,24,,USA,Premium,TRUE,10.17,4,Movie,Fantasy,2004,94,TV-Y7,Spanish,USA,2.7,FALSE
11/26/25,Tablet,50.2,19.4,paused,36,Male,USA,Basic,TRUE,7.78,6,Limited Series,Animation,2019,60,R,French,USA,6.7,TRUE
5/24/24,Tablet,63.3,4,started,65,Male,USA,Basic,TRUE,12.95,3,TV Series,Adventure,2020,60,TV-MA,English,USA,4.8,TRUE
3/22/25,Mobile,77.8,62.5,started,42,Other,USA,Premium,TRUE,17.58,4,Movie,History,2005,563,TV-G,English,USA,5,FALSE
1/12/24,Tablet,28.7,5,stopped,26,Prefer not to say,Canada,Premium+,TRUE,27.4,3,TV Series,Fantasy,2003,32,TV-MA,English,USA,3.6,TRUE
8/8/25,Laptop,28.7,87.9,started,50,Other,USA,Standard,TRUE,18.26,2,Stand-up Comedy,Sci-Fi,2016,72,G,Spanish,USA,6,FALSE
2/8/25,Desktop,7.2,52.9,completed,30,Female,Canada,Premium,TRUE,22.98,4,Documentary,Drama,2021,84,TV-Y,English,UK,7.9,TRUE
8/8/24,Desktop,27.1,74.8,paused,31,Male,Canada,Standard,TRUE,3,1,Stand-up Comedy,Crime,1998,89,TV-Y7,English,UK,7.6,FALSE
11/18/24,Mobile,57.2,96.5,paused,43,Male,USA,Standard,TRUE,24.73,3,TV Series,History,1998,12,TV-14,English,Canada,6.4,FALSE
2/29/24,Smart TV,14.3,93.7,paused,48,Male,Canada,Standard,TRUE,33.79,3,TV Series,War,2002,47,TV-PG,English,USA,6.8,FALSE
1/28/24,Laptop,79,32,started,31,Female,USA,Premium,TRUE,10.89,3,TV Series,Animation,2016,51,R,French,USA,8.9,TRUE
8/13/24,Smart TV,104.2,99.9,paused,20,Male,Canada,Basic,TRUE,19.52,1,TV Series,Animation,2021,65,TV-Y,Spanish,Canada,7,FALSE
11/12/24,Smart TV,19.6,98.3,completed,42,Female,USA,Standard,TRUE,17.78,,Documentary,Family,2020,72,TV-Y7,English,USA,7.1,FALSE
6/29/25,Desktop,104.7,35.9,paused,38,Male,USA,Premium,TRUE,17.99,2,Movie,Drama,1963,92,G,German,Japan,7.7,FALSE
2/1/25,Tablet,60.7,89.4,paused,34,Male,USA,Basic,TRUE,24.06,2,Movie,Animation,1998,95,NC-17,German,USA,5.5,TRUE
8/17/24,Smart TV,52.9,94.9,stopped,41,Male,Canada,Premium,TRUE,12.95,4,Movie,Animation,2006,69,TV-PG,English,USA,5.1,FALSE
8/7/24,Laptop,24.7,77.2,paused,26,Female,USA,Basic,TRUE,20.33,2,TV Series,Documentary,2024,33,PG-13,English,UK,4.5,FALSE
3/23/24,Laptop,161.7,4.9,stopped,22,Male,USA,Premium,TRUE,12.58,,TV Series,Romance,2001,66,R,German,USA,6.2,TRUE
6/22/24,Desktop,25.2,67,started,38,Male,USA,Standard,TRUE,8.43,2,Movie,Sport,1995,121,R,English,USA,7,FALSE
5/9/25,Smart TV,80.2,78.3,paused,45,Other,USA,Premium,TRUE,9.01,3,TV Series,Family,1994,38,TV-PG,English,USA,7.4,FALSE
9/15/25,Laptop,111.2,27.2,completed,63,Male,USA,Premium,TRUE,32.54,2,Movie,Comedy,1990,70,TV-PG,English,Germany,5.9,FALSE
8/17/25,Smart TV,56.2,40.5,completed,23,Female,USA,Premium,TRUE,11.14,8,Movie,Biography,2009,136,TV-MA,French,South Korea,8.7,TRUE
8/17/25,Laptop,26.8,24.2,paused,39,Male,USA,Premium,TRUE,12.14,2,TV Series,War,1997,44,PG,English,USA,7.7,TRUE
11/28/24,Mobile,32.7,88.1,paused,29,,USA,Basic,TRUE,16.26,1,Movie,Action,2018,105,G,English,UK,4.5,FALSE
10/28/25,Tablet,77.3,80.3,started,43,Male,Canada,Premium,TRUE,4.79,1,Movie,History,2019,111,TV-14,English,France,6,TRUE
9/13/25,Laptop,59.7,20.7,stopped,42,Female,Canada,Premium+,TRUE,6.61,3,Movie,Mystery,1997,113,PG,French,USA,6,FALSE
12/31/25,Tablet,67.2,0.9,paused,49,Male,USA,Standard,TRUE,8.34,1,TV Series,Action,1998,37,TV-Y,English,USA,7.5,FALSE
6/20/24,Mobile,23.1,31,paused,38,Female,USA,Standard,TRUE,9.58,5,Documentary,Family,2020,72,TV-Y7,English,USA,7.1,FALSE
5/30/25,Desktop,55.6,46,paused,20,,Canada,Standard,TRUE,8.15,2,Movie,War,2003,81,TV-PG,English,South Korea,4.8,FALSE
2/23/25,Desktop,69.8,37.4,paused,41,Male,USA,Basic,TRUE,44.65,2,TV Series,Romance,2003,50,PG-13,English,Canada,6,FALSE
5/9/25,Laptop,740.2,25.6,paused,48,Male,USA,Standard,TRUE,4.7,2,Movie,Music,2018,100,R,English,USA,3.3,FALSE
9/19/24,Smart TV,82.1,9,started,20,Male,USA,Premium,TRUE,34.09,8,TV Series,War,2018,48,TV-PG,English,India,7.7,TRUE
6/16/24,Laptop,43.8,65,stopped,46,Female,USA,Basic,TRUE,9,2,Limited Series,Comedy,1996,68,TV-G,Spanish,USA,3.8,FALSE
2/6/24,Desktop,59.2,97.6,paused,36,Male,USA,Premium,TRUE,17.82,2,TV Series,Comedy,2003,38,TV-Y,English,USA,6.6,TRUE
8/4/24,Tablet,52.7,0.4,started,37,Female,USA,Basic,TRUE,30.59,2,Documentary,Fantasy,2010,94,TV-MA,English,USA,6,TRUE
8/5/24,Smart TV,70.1,64.8,completed,36,Female,Canada,Basic,TRUE,3.55,6,Documentary,Western,2022,50,PG-13,Italian,USA,7.7,TRUE
1/25/25,Tablet,19.2,82.9,started,18,Female,USA,Basic,TRUE,25.62,2,Movie,Documentary,2017,126,TV-Y7,English,USA,1.3,FALSE
9/14/25,Desktop,123.1,5,completed,23,Female,Canada,Standard,FALSE,54.46,4,TV Series,Romance,2001,65,G,English,USA,6.1,FALSE
11/14/25,Desktop,200.4,90.5,stopped,24,Male,USA,Premium+,FALSE,20.46,2,Documentary,Music,2016,85,PG,English,USA,4.4,FALSE
11/25/25,Tablet,68.9,78.2,completed,45,Male,USA,Basic,TRUE,4.1,4,TV Series,Biography,2012,56,PG-13,English,France,6.8,FALSE
1/27/25,Mobile,28.5,54.3,paused,31,,USA,Premium,TRUE,412.29,2,TV Series,War,2017,26,NC-17,English,USA,8,FALSE
10/24/25,Laptop,76.1,21,paused,38,Female,Canada,Standard,TRUE,16.07,4,Movie,Music,2010,159,TV-Y7,French,France,8.2,FALSE
9/8/24,Mobile,33.1,16.9,paused,57,Female,Canada,Premium,TRUE,17.82,1,Movie,Western,2005,130,R,Italian,South Korea,3.4,TRUE
3/6/25,Tablet,31.6,28.7,started,27,Female,USA,Premium+,TRUE,17.41,1,Documentary,Action,2019,98,G,Hindi,South Korea,8.5,FALSE
8/22/24,Mobile,65.4,10.3,completed,53,Female,Canada,Premium,FALSE,17.66,,Documentary,Animation,1994,115,TV-PG,Japanese,South Korea,5.8,FALSE
5/26/24,Laptop,118.6,47.2,completed,27,Male,USA,Standard,TRUE,23.9,2,Stand-up Comedy,Adventure,2015,51,R,German,Canada,5.7,FALSE
9/26/25,Smart TV,80.4,33.5,started,32,Male,USA,Premium,TRUE,14.89,,Limited Series,Documentary,2016,69,TV-PG,English,USA,7.5,FALSE
6/24/24,Tablet,13.8,11.1,completed,47,Male,USA,Basic,TRUE,9.3,1,Movie,Family,2018,170,R,English,USA,4,FALSE
8/4/25,Smart TV,95.1,11.6,started,42,,USA,Premium,TRUE,9.02,4,TV Series,Adventure,2017,66,TV-G,German,USA,7,FALSE
3/17/24,Smart TV,29.6,35.3,started,49,Female,USA,Premium,TRUE,10.88,2,TV Series,Crime,1965,77,PG-13,English,France,6.5,FALSE
4/3/25,Laptop,97.7,29,paused,22,Female,USA,Premium,TRUE,25.77,,Documentary,Mystery,2008,103,TV-G,Spanish,South Korea,9.6,FALSE
12/16/25,Laptop,27,12.4,paused,28,Other,USA,Standard,FALSE,23.6,2,TV Series,Adventure,2004,62,TV-Y7,Korean,USA,6.3,FALSE
10/27/24,Laptop,36.5,72.5,started,24,Male,USA,Premium,FALSE,24.07,2,Movie,Family,2024,127,TV-Y,English,South Korea,6.9,FALSE
8/21/24,Smart TV,80.3,90.5,completed,53,Female,USA,Basic,FALSE,21.82,4,TV Series,Drama,2021,73,R,Japanese,USA,6.5,FALSE
4/21/25,Smart TV,83.9,43.6,paused,55,Male,USA,Premium,TRUE,22.11,,Movie,Documentary,2023,99,TV-Y,English,USA,1.4,FALSE
1/8/25,Tablet,40.1,33.7,stopped,37,Male,USA,Premium,TRUE,25.67,2,Movie,Documentary,2014,89,TV-Y,English,USA,7.8,FALSE
9/18/25,Laptop,28.2,83.9,paused,45,,Canada,Premium,TRUE,53.68,2,Stand-up Comedy,Sci-Fi,1993,51,TV-Y7,Spanish,USA,6,FALSE
12/26/24,Desktop,60.1,90.3,stopped,53,Female,USA,Basic,TRUE,14.19,1,Documentary,History,1999,75,TV-Y7,Korean,USA,6.6,FALSE
7/17/24,Desktop,132.8,37.9,completed,33,Female,USA,Standard,TRUE,17.36,5,Documentary,Fantasy,2020,98,TV-PG,English,USA,5.9,FALSE
1/26/24,Desktop,23.5,63,completed,54,Male,USA,Basic,FALSE,31.54,1,Movie,Western,1995,456,TV-MA,English,USA,9.5,TRUE
7/20/24,Mobile,44.6,91.2,completed,48,Female,USA,Premium+,TRUE,73.54,2,Limited Series,Sci-Fi,1992,63,NC-17,English,USA,9,FALSE
3/18/25,Tablet,43,63.7,completed,22,Male,Canada,Standard,TRUE,12.08,4,TV Series,Animation,1994,80,G,English,USA,5.6,TRUE
2/25/25,Mobile,84.6,46.6,stopped,33,Male,USA,Premium,FALSE,12.81,1,Movie,Western,2016,73,TV-G,Japanese,USA,5.3,FALSE
7/2/24,Smart TV,26.2,26.4,started,36,Female,Canada,Basic,TRUE,3.55,6,Stand-up Comedy,Sci-Fi,1999,87,TV-G,German,USA,5.8,FALSE
12/4/24,Smart TV,63.7,70.4,stopped,33,Male,Canada,Basic,TRUE,9.23,3,Stand-up Comedy,Action,1990,70,NC-17,English,France,2.9,TRUE
9/13/24,Laptop,26.1,35.7,completed,33,Other,Canada,Premium,TRUE,7.9,5,Movie,History,2020,91,G,English,South Korea,8,FALSE
6/12/25,Laptop,57,30.3,paused,48,Male,USA,Standard,TRUE,21.94,3,TV Series,Comedy,2007,28,TV-14,English,USA,8.3,FALSE
1/5/25,Laptop,7.5,19.3,stopped,40,Female,USA,Premium+,TRUE,21.32,1,Movie,Biography,2023,132,TV-G,Hindi,USA,7.4,TRUE
6/26/25,Mobile,76.1,87,paused,40,Male,USA,Basic,TRUE,20.96,8,Movie,Fantasy,1981,159,G,Italian,South Korea,6.9,FALSE
10/2/24,Smart TV,74.4,82.3,paused,22,Male,Canada,Premium+,TRUE,27.22,1,Movie,Thriller,1999,76,TV-Y7,English,UK,4.6,FALSE
9/25/25,Desktop,52.9,12.7,completed,55,Female,USA,Premium,TRUE,10.34,2,Documentary,History,2018,90,TV-Y7,English,Canada,4.7,FALSE
10/12/25,Smart TV,82.9,93.4,paused,46,Female,USA,Premium,TRUE,17.96,2,Movie,History,2006,106,G,Italian,USA,6,FALSE
11/24/24,Mobile,37.3,34.2,completed,29,Male,Canada,Standard,TRUE,4.42,3,TV Series,Animation,2016,18,TV-PG,English,USA,6.5,FALSE
8/8/24,Laptop,26.9,76,paused,24,Female,USA,Basic,TRUE,9.29,3,Documentary,Sport,2001,77,R,German,USA,10,FALSE
5/20/24,Desktop,120.1,65.3,completed,60,Male,Canada,Premium,TRUE,5.88,3,Stand-up Comedy,Documentary,2021,49,TV-Y7,English,USA,6.6,FALSE
9/25/25,Smart TV,22.8,11.3,started,35,,USA,Premium,TRUE,22.13,1,TV Series,Documentary,2014,41,TV-PG,Spanish,UK,0.8,TRUE
