watch_date,device_type,watch_duration_minutes,progress_percentage,action,age,gender,country,subscription_plan,is_active,monthly_spend,household_size,content_type,genre_primary,release_year,duration_minutes,rating,maturity_level,language,country_of_origin,imdb_rating,is_netflix_original
7/15/2024,Laptop,22.50,78.6,paused,38,Male,USA,BASIC,TRUE,15.10,2,Movie,Comedy,"2,019",108,TV-G,#N/A,English,Japan,4.6,FALSE
11/4/2025,Mobile,72.60,58.6,started,36,Female,Canada,STANDARD,TRUE,27.83,5,Limited Series,Sport,"1,996",68,TV-Y7,Kids,English,Canada,4.8,TRUE
1/30/2025,Tablet,79.20,79,started,34,Female,USA,STANDARD,TRUE,3.59,5,Stand-up Comedy,Mystery,"1,997",51,R,Adult,English,Canada,7.9,TRUE
1/20/2025,Mobile,2.00,40.3,completed,32,Male,Canada,PREMIUM,TRUE,1.69,1,TV Series,Romance,"2,019",64,PG,Family,English,UK,7.4,TRUE
11/16/2024,Mobile,125.60,84,started,31,Male,USA,STANDARD,FALSE,4.60,1,Movie,Thriller,"1,993",109,R,Adult,Spanish,USA,7.4,TRUE
12/28/2024,Smart Tv,26.70,99.5,paused,20,Male,Canada,PREMIUM,TRUE,2.68,2,TV Series,Comedy,"2,011",22,R,Adult,English,Germany,3.0,FALSE
1/5/2025,Desktop,12.80,43.1,paused,20,Male,USA,BASIC,TRUE,60.04,3,Stand-up Comedy,Music,"2,004",69,PG,Family,German,Germany,6.3,FALSE
1/16/2024,Mobile,69.40,65.8,stopped,37,Male,USA,BASIC,TRUE,13.59,2,Movie,Animation,"2,014",82,TV-PG,Family,English,USA,7.5,FALSE
12/23/2024,Desktop,19.40,87.4,paused,48,Male,USA,BASIC,TRUE,3.99,3,Documentary,Music,"2,016",85,PG,Family,English,USA,4.4,FALSE
10/17/2025,Smart Tv,32.00,68.4,completed,20,Female,USA,BASIC,FALSE,4.85,2,Stand-up Comedy,Horror,"1,961",47,TV-14,Teens,Spanish,France,6.1,FALSE
1/5/2024,Tablet,35.50,95.9,paused,49,Male,Canada,PREMIUM,TRUE,0.67,2,Documentary,Action,"1,996",46,NC-17,Adult,English,USA,7.1,FALSE
8/7/2025,Laptop,53.00,35.9,stopped,31,Male,USA,BASIC,TRUE,17.12,4,TV Series,Romance,"2,005",59,TV-MA,Adult,English,Germany,4.1,FALSE
6/18/2024,Desktop,328.20,30.3,paused,24,Male,Canada,PREMIUM,TRUE,26.27,3,Limited Series,Crime,"2,001",24,TV-14,Teens,English,Canada,8.2,FALSE
6/14/2024,Smart Tv,16.40,28.6,paused,46,Prefer Not To Say,USA,STANDARD,TRUE,17.75,2,Movie,Animation,"1,998",95,NC-17,Adult,German,USA,5.5,TRUE
9/24/2025,Smart Tv,11.00,14.3,paused,26,Male,Canada,STANDARD,TRUE,13.91,2,Movie,Fantasy,"2,018",93,PG-13,Teens,English,USA,3.5,TRUE
5/10/2024,Mobile,7.10,13.8,completed,47,Female,Canada,STANDARD,TRUE,34.34,2,Movie,Crime,"2,017",115,PG,Family,English,USA,6.5,FALSE
10/23/2025,Laptop,11.40,7.1,stopped,54,Female,USA,PREMIUM+,TRUE,10.52,3,Movie,Animation,"2,024",103,TV-Y,Kids,English,South Korea,4.8,FALSE
4/1/2025,Smart Tv,130.80,90.5,completed,49,Male,USA,STANDARD,TRUE,17.36,2,TV Series,Music,"2,015",38,TV-MA,Adult,Italian,South Korea,4.0,FALSE
6/26/2025,Smart Tv,54.20,75.7,started,44,Male,USA,STANDARD,TRUE,23.70,3,Movie,Sci-Fi,"2,011",109,NC-17,Adult,Spanish,USA,4.0,FALSE
8/31/2025,Tablet,104.70,38.8,started,54,Female,USA,STANDARD,TRUE,6.15,1,Movie,Animation,"1,992",121,TV-PG,Family,English,USA,7.2,FALSE
10/6/2025,Tablet,73.30,19,started,48,Female,Canada,PREMIUM,TRUE,30.56,2,Documentary,Romance,"2,015",91,TV-MA,Adult,Japanese,USA,5.3,TRUE
9/30/2025,Tablet,125.80,83.9,paused,36,Male,USA,STANDARD,TRUE,33.45,6,TV Series,War,"2,013",28,PG-13,Teens,English,USA,4.7,FALSE
6/30/2025,Laptop,45.30,46.8,started,26,Female,Canada,PREMIUM+,TRUE,50.18,2,Movie,Fantasy,"1,961",106,PG-13,Teens,Spanish,Japan,7.5,FALSE
8/8/2024,Tablet,107.70,85.5,paused,105,Prefer Not To Say,Canada,BASIC,TRUE,14.10,2,Stand-up Comedy,Thriller,"1,995",63,TV-Y7,Kids,Spanish,Germany,7.3,FALSE
2/22/2025,Mobile,30.30,6.1,started,21,Female,Canada,BASIC,TRUE,6.64,2,Movie,Music,"2,003",139,TV-14,Teens,French,USA,7.3,TRUE
6/23/2025,Mobile,55.60,31.6,paused,34,Female,USA,PREMIUM,TRUE,11.27,7,Movie,Animation,"2,001",74,G,Kids,English,USA,5.8,FALSE
11/27/2024,Laptop,36.00,65.2,stopped,19,Male,USA,STANDARD,TRUE,11.11,2,TV Series,Sci-Fi,"1,998",19,TV-Y,Kids,Italian,UK,5.0,TRUE
6/24/2025,Smart Tv,165.50,29.3,stopped,50,Prefer Not To Say,Canada,PREMIUM+,FALSE,4.39,2,TV Series,Animation,"1,998",28,PG-13,Teens,English,France,8.3,TRUE
7/20/2024,Desktop,41.30,92.3,stopped,33,Prefer Not To Say,Canada,PREMIUM+,TRUE,27.73,2,Documentary,Documentary,"2,001",71,NC-17,Adult,English,UK,1.2,FALSE
11/29/2025,Smart Tv,151.20,98.2,stopped,29,Female,USA,PREMIUM,TRUE,3.19,2,Stand-up Comedy,Music,"1,993",334,TV-Y,Kids,English,South Korea,5.0,FALSE
12/18/2024,Tablet,22.70,41.3,stopped,30,Male,Canada,BASIC,TRUE,13.02,1,Movie,Comedy,"2,024",117,TV-Y7,Kids,Spanish,USA,6.3,FALSE
4/14/2025,Desktop,121.10,29.4,paused,62,Female,Canada,BASIC,TRUE,6.63,2,Documentary,History,"2,018",90,TV-Y7,Kids,English,Canada,4.7,FALSE
10/6/2025,Laptop,107.40,97,stopped,45,Female,USA,STANDARD,TRUE,286.35,5,Documentary,Action,"2,012",75,PG-13,Teens,Spanish,South Korea,8.1,FALSE
4/4/2025,Desktop,43.50,62.8,stopped,35,Female,USA,PREMIUM,FALSE,27.46,2,Movie,Mystery,"2,010",81,TV-Y7,Kids,German,USA,5.5,FALSE
7/15/2024,Laptop,141.50,4.3,paused,51,Male,USA,STANDARD,FALSE,13.97,5,Movie,Western,"2,016",153,PG,Family,German,USA,5.9,FALSE
1/14/2024,Mobile,30.40,7.5,paused,36,Female,USA,BASIC,TRUE,21.35,2,Limited Series,Sport,"1,993",38,TV-Y,Kids,English,USA,4.9,FALSE
1/23/2024,Laptop,206.50,15.9,stopped,21,Female,USA,PREMIUM+,TRUE,16.53,2,Limited Series,Animation,"2,019",60,R,Adult,French,USA,6.7,TRUE
5/6/2025,Desktop,104.90,83.4,stopped,24,Female,Canada,PREMIUM+,TRUE,13.82,2,TV Series,Animation,"1,994",80,G,Kids,English,USA,5.6,TRUE
2/3/2024,Desktop,130.60,4.9,stopped,54,Male,USA,STANDARD,TRUE,10.34,1,Documentary,Adventure,"2,014",110,R,Adult,English,India,9.6,FALSE
1/12/2024,Desktop,125.70,55.3,completed,33,Female,USA,STANDARD,FALSE,1.00,5,Movie,Western,"2,016",73,TV-G,#N/A,Japanese,USA,5.3,FALSE
8/14/2025,Smart Tv,426.50,17.8,stopped,42,Female,USA,STANDARD,TRUE,2.04,1,Movie,Horror,"1,991",109,TV-Y,Kids,Spanish,South Korea,7.7,FALSE
1/10/2024,Laptop,71.60,89.1,completed,32,Male,USA,PREMIUM,TRUE,20.31,4,Stand-up Comedy,Sport,"2,011",64,TV-14,Teens,Hindi,Canada,4.8,FALSE
11/7/2025,Smart Tv,46.00,84.3,stopped,44,Female,USA,STANDARD,FALSE,24.22,3,Documentary,Thriller,"2,012",101,PG-13,Teens,English,France,5.5,TRUE
2/20/2025,Mobile,40.60,16.1,stopped,35,Male,USA,PREMIUM,TRUE,710.55,3,Movie,Drama,"2,022",99,PG,Family,Italian,USA,9.1,TRUE
1/6/2024,Tablet,20.90,22,started,26,Female,USA,STANDARD,FALSE,11.77,1,Movie,Comedy,"2,010",38,PG-13,Teens,Italian,USA,6.6,FALSE
10/8/2025,Tablet,58.30,82.7,stopped,39,Prefer Not To Say,USA,STANDARD,TRUE,16.88,2,TV Series,Animation,"2,005",40,TV-PG,Family,Spanish,South Korea,5.8,FALSE
10/7/2024,Tablet,36.00,56.9,started,27,Other,USA,PREMIUM+,TRUE,10.41,2,Movie,Biography,"2,017",82,TV-14,Teens,Spanish,USA,5.9,TRUE
6/24/2024,Laptop,17.40,94.3,completed,24,Female,USA,PREMIUM,TRUE,10.17,4,Movie,Fantasy,"2,004",94,TV-Y7,Kids,Spanish,USA,2.7,FALSE
11/26/2025,Tablet,50.20,19.4,paused,36,Male,USA,BASIC,TRUE,7.78,6,Limited Series,Animation,"2,019",60,R,Adult,French,USA,6.7,TRUE
5/24/2024,Tablet,63.30,4,started,65,Male,USA,BASIC,TRUE,12.95,3,TV Series,Adventure,"2,020",60,TV-MA,Adult,English,USA,4.8,TRUE
3/22/2025,Mobile,77.80,62.5,started,42,Other,USA,PREMIUM,TRUE,17.58,4,Movie,History,"2,005",563,TV-G,#N/A,English,USA,5.0,FALSE
1/12/2024,Tablet,28.70,5,stopped,26,Prefer Not To Say,Canada,PREMIUM+,TRUE,27.40,3,TV Series,Fantasy,"2,003",32,TV-MA,Adult,English,USA,3.6,TRUE
8/8/2025,Laptop,28.70,87.9,started,50,Other,USA,STANDARD,TRUE,18.26,2,Stand-up Comedy,Sci-Fi,"2,016",72,G,Kids,Spanish,USA,6.0,FALSE
2/8/2025,Desktop,7.20,52.9,completed,30,Female,Canada,PREMIUM,TRUE,22.98,4,Documentary,Drama,"2,021",84,TV-Y,Kids,English,UK,7.9,TRUE
8/8/2024,Desktop,27.10,74.8,paused,31,Male,Canada,STANDARD,TRUE,3.00,1,Stand-up Comedy,Crime,"1,998",89,TV-Y7,Kids,English,UK,7.6,FALSE
11/18/2024,Mobile,57.20,96.5,paused,43,Male,USA,STANDARD,TRUE,24.73,3,TV Series,History,"1,998",12,TV-14,Teens,English,Canada,6.4,FALSE
2/29/2024,Smart Tv,14.30,93.7,paused,48,Male,Canada,STANDARD,TRUE,33.79,3,TV Series,War,"2,002",47,TV-PG,Family,English,USA,6.8,FALSE
1/28/2024,Laptop,79.00,32,started,31,Female,USA,PREMIUM,TRUE,10.89,3,TV Series,Animation,"2,016",51,R,Adult,French,USA,8.9,TRUE
8/13/2024,Smart Tv,104.20,99.9,paused,20,Male,Canada,BASIC,TRUE,19.52,1,TV Series,Animation,"2,021",65,TV-Y,Kids,Spanish,Canada,7.0,FALSE
11/12/2024,Smart Tv,19.60,98.3,completed,42,Female,USA,STANDARD,TRUE,17.78,2,Documentary,Family,"2,020",72,TV-Y7,Kids,English,USA,7.1,FALSE
6/29/2025,Desktop,104.70,35.9,paused,38,Male,USA,PREMIUM,TRUE,17.99,2,Movie,Drama,"1,963",92,G,Kids,German,Japan,7.7,FALSE
2/1/2025,Tablet,60.70,89.4,paused,34,Male,USA,BASIC,TRUE,24.06,2,Movie,Animation,"1,998",95,NC-17,Adult,German,USA,5.5,TRUE
8/17/2024,Smart Tv,52.90,94.9,stopped,41,Male,Canada,PREMIUM,TRUE,12.95,4,Movie,Animation,"2,006",69,TV-PG,Family,English,USA,5.1,FALSE
8/7/2024,Laptop,24.70,77.2,paused,26,Female,USA,BASIC,TRUE,20.33,2,TV Series,Documentary,"2,024",33,PG-13,Teens,English,UK,4.5,FALSE
3/23/2024,Laptop,161.70,4.9,stopped,22,Male,USA,PREMIUM,TRUE,12.58,2,TV Series,Romance,"2,001",66,R,Adult,German,USA,6.2,TRUE
6/22/2024,Desktop,25.20,67,started,38,Male,USA,STANDARD,TRUE,8.43,2,Movie,Sport,"1,995",121,R,Adult,English,USA,7.0,FALSE
5/9/2025,Smart Tv,80.20,78.3,paused,45,Other,USA,PREMIUM,TRUE,9.01,3,TV Series,Family,"1,994",38,TV-PG,Family,English,USA,7.4,FALSE
9/15/2025,Laptop,111.20,27.2,completed,63,Male,USA,PREMIUM,TRUE,32.54,2,Movie,Comedy,"1,990",70,TV-PG,Family,English,Germany,5.9,FALSE
8/17/2025,Smart Tv,56.20,40.5,completed,23,Female,USA,PREMIUM,TRUE,11.14,8,Movie,Biography,"2,009",136,TV-MA,Adult,French,South Korea,8.7,TRUE
8/17/2025,Laptop,26.80,24.2,paused,39,Male,USA,PREMIUM,TRUE,12.14,2,TV Series,War,"1,997",44,PG,Family,English,USA,7.7,TRUE
11/28/2024,Mobile,32.70,88.1,paused,29,Female,USA,BASIC,TRUE,16.26,1,Movie,Action,"2,018",105,G,Kids,English,UK,4.5,FALSE
10/28/2025,Tablet,77.30,80.3,started,43,Male,Canada,PREMIUM,TRUE,4.79,1,Movie,History,"2,019",111,TV-14,Teens,English,France,6.0,TRUE
9/13/2025,Laptop,59.70,20.7,stopped,42,Female,Canada,PREMIUM+,TRUE,6.61,3,Movie,Mystery,"1,997",113,PG,Family,French,USA,6.0,FALSE
12/31/2025,Tablet,67.20,0.9,paused,49,Male,USA,STANDARD,TRUE,8.34,1,TV Series,Action,"1,998",37,TV-Y,Kids,English,USA,7.5,FALSE
6/20/2024,Mobile,23.10,31,paused,38,Female,USA,STANDARD,TRUE,9.58,5,Documentary,Family,"2,020",72,TV-Y7,Kids,English,USA,7.1,FALSE
5/30/2025,Desktop,55.60,46,paused,20,Female,Canada,STANDARD,TRUE,8.15,2,Movie,War,"2,003",81,TV-PG,Family,English,South Korea,4.8,FALSE
2/23/2025,Desktop,69.80,37.4,paused,41,Male,USA,BASIC,TRUE,44.65,2,TV Series,Romance,"2,003",50,PG-13,Teens,English,Canada,6.0,FALSE
5/9/2025,Laptop,740.20,25.6,paused,48,Male,USA,STANDARD,TRUE,4.70,2,Movie,Music,"2,018",100,R,Adult,English,USA,3.3,FALSE
9/19/2024,Smart Tv,82.10,9,started,20,Male,USA,PREMIUM,TRUE,34.09,8,TV Series,War,"2,018",48,TV-PG,Family,English,India,7.7,TRUE
6/16/2024,Laptop,43.80,65,stopped,46,Female,USA,BASIC,TRUE,9.00,2,Limited Series,Comedy,"1,996",68,TV-G,#N/A,Spanish,USA,3.8,FALSE
2/6/2024,Desktop,59.20,97.6,paused,36,Male,USA,PREMIUM,TRUE,17.82,2,TV Series,Comedy,"2,003",38,TV-Y,Kids,English,USA,6.6,TRUE
8/4/2024,Tablet,52.70,0.4,started,37,Female,USA,BASIC,TRUE,30.59,2,Documentary,Fantasy,"2,010",94,TV-MA,Adult,English,USA,6.0,TRUE
8/5/2024,Smart Tv,70.10,64.8,completed,36,Female,Canada,BASIC,TRUE,3.55,6,Documentary,Western,"2,022",50,PG-13,Teens,Italian,USA,7.7,TRUE
1/25/2025,Tablet,19.20,82.9,started,18,Female,USA,BASIC,TRUE,25.62,2,Movie,Documentary,"2,017",126,TV-Y7,Kids,English,USA,1.3,FALSE
9/14/2025,Desktop,123.10,5,completed,23,Female,Canada,STANDARD,FALSE,54.46,4,TV Series,Romance,"2,001",65,G,Kids,English,USA,6.1,FALSE
11/14/2025,Desktop,200.40,90.5,stopped,24,Male,USA,PREMIUM+,FALSE,20.46,2,Documentary,Music,"2,016",85,PG,Family,English,USA,4.4,FALSE
11/25/2025,Tablet,68.90,78.2,completed,45,Male,USA,BASIC,TRUE,4.10,4,TV Series,Biography,"2,012",56,PG-13,Teens,English,France,6.8,FALSE
1/27/2025,Mobile,28.50,54.3,paused,31,Female,USA,PREMIUM,TRUE,412.29,2,TV Series,War,"2,017",26,NC-17,Adult,English,USA,8.0,FALSE
10/24/2025,Laptop,76.10,21,paused,38,Female,Canada,STANDARD,TRUE,16.07,4,Movie,Music,"2,010",159,TV-Y7,Kids,French,France,8.2,FALSE
9/8/2024,Mobile,33.10,16.9,paused,57,Female,Canada,PREMIUM,TRUE,17.82,1,Movie,Western,"2,005",130,R,Adult,Italian,South Korea,3.4,TRUE
3/6/2025,Tablet,31.60,28.7,started,27,Female,USA,PREMIUM+,TRUE,17.41,1,Documentary,Action,"2,019",98,G,Kids,Hindi,South Korea,8.5,FALSE
8/22/2024,Mobile,65.40,10.3,completed,53,Female,Canada,PREMIUM,FALSE,17.66,2,Documentary,Animation,"1,994",115,TV-PG,Family,Japanese,South Korea,5.8,FALSE
5/26/2024,Laptop,118.60,47.2,completed,27,Male,USA,STANDARD,TRUE,23.90,2,Stand-up Comedy,Adventure,"2,015",51,R,Adult,German,Canada,5.7,FALSE
9/26/2025,Smart Tv,80.40,33.5,started,32,Male,USA,PREMIUM,TRUE,14.89,2,Limited Series,Documentary,"2,016",69,TV-PG,Family,English,USA,7.5,FALSE
6/24/2024,Tablet,13.80,11.1,completed,47,Male,USA,BASIC,TRUE,9.30,1,Movie,Family,"2,018",170,R,Adult,English,USA,4.0,FALSE
8/4/2025,Smart Tv,95.10,11.6,started,42,Female,USA,PREMIUM,TRUE,9.02,4,TV Series,Adventure,"2,017",66,TV-G,#N/A,German,USA,7.0,FALSE
3/17/2024,Smart Tv,29.60,35.3,started,49,Female,USA,PREMIUM,TRUE,10.88,2,TV Series,Crime,"1,965",77,PG-13,Teens,English,France,6.5,FALSE
4/3/2025,Laptop,97.70,29,paused,22,Female,USA,PREMIUM,TRUE,25.77,2,Documentary,Mystery,"2,008",103,TV-G,#N/A,Spanish,South Korea,9.6,FALSE
12/16/2025,Laptop,27.00,12.4,paused,28,Other,USA,STANDARD,FALSE,23.60,2,TV Series,Adventure,"2,004",62,TV-Y7,Kids,Korean,USA,6.3,FALSE
10/27/2024,Laptop,36.50,72.5,started,24,Male,USA,PREMIUM,FALSE,24.07,2,Movie,Family,"2,024",127,TV-Y,Kids,English,South Korea,6.9,FALSE
8/21/2024,Smart Tv,80.30,90.5,completed,53,Female,USA,BASIC,FALSE,21.82,4,TV Series,Drama,"2,021",73,R,Adult,Japanese,USA,6.5,FALSE
4/21/2025,Smart Tv,83.90,43.6,paused,55,Male,USA,PREMIUM,TRUE,22.11,2,Movie,Documentary,"2,023",99,TV-Y,Kids,English,USA,1.4,FALSE
1/8/2025,Tablet,40.10,33.7,stopped,37,Male,USA,PREMIUM,TRUE,25.67,2,Movie,Documentary,"2,014",89,TV-Y,Kids,English,USA,7.8,FALSE
